service;origin;destiny;color
101;RECOLETA;CERRILLOS;#F58220
102;(M) BLANQUEADO;MALL PLAZA TOBALABA;#FFC107
103;PROVIDENCIA;SAN JOAQUIN;#F58220
104;PROVIDENCIA;MALL PLAZA TOBALABA;#FFC107
105;RENCA;LO ESPEJO;#ED1C24
106;NUEVA SAN MARTIN;LA FLORIDA;#F58220
107;CIUDAD EMPRESARIAL;AV. DEPARTAMENTAL;#F58220
107c;CIUDAD EMPRESARIAL;PLAZA RENCA;#F58220
108;MAIPU;LA FLORIDA;#F58220
109;RENCA;MAIPU;#00929E
109N;(M) QUINTA NORMAL;MAIPU;#00929E
110;RENCA;MAIPU;#00929E
110c;RENCA;PUDAHUEL SUR;#00929E
111;(M) PAJARITO;CIUDAD SATELITE;#00A77E
113;CIUDAD SATELITE;(M) LOS HEROES;#00A77E
113c;(M) CERRILLOS;CIUDAD SATELITE;#00A77E
113e;CIUDAD SATELITE;(M) LOS HEROES;#00A77E
114;(M) ÑUñOA;MALL PLAZA TOBALABA;#FFC107
115;VILLA EL ABRAZO;(M) LA MONEDA;#00929E
116;HUECHURABA;SANTIAGO CENTRO;#ED1C24
117;(M) VESPUCIO NORTE;SAN JOAQUIN;#F58220
117c;HUECHURABA;PROVIDENCIA;#F58220
118;MAIPU;MALL PLAZA VESPUCIO;#00929E
119;MAPOCHO;LO ESPEJO;#00A77E
120;RENCA;(M) LA CISTERNA;#ED1C24
121;MAPOCHO;LO ESPEJO;#00A77E
125;(M) U. DE CHILE;LO ESPEJO;#00A77E
126;(M) MANUEL MONTT;LA HIGUERA;#00A77E
201;MALL PLAZA NORTE;SAN BERNARDO;#0951BC
201e;(M) SANTA ANA;SAN BERNARDO;#0951BC
203;HUECHURABA;LA PINTANA;#0951BC
203e;HUECHURABA;LA PINTANA;#0951BC
204;ALAMEDA;GABRIELA;#0951BC
204N;ALAMEDA;GABRIELA;#0951BC
204e;ALAMEDA;GABRIELA;#0951BC
205;SANTIAGO;PUENTE ALTO;#0951BC
205e;SANTIAGO;PUENTE ALTO;#0951BC
206;CENTRO;LA PINTANA;#0951BC
206c;(M) BIO BIO;LA PINTANA;#0951BC
207;MAPOCHO;AV. SANTA ROSA;#0951BC
207e;MAPOCHO;AV. SANTA ROSA;#0951BC
208;HUECHURABA;CENTRO;#0951BC
208c;HUECHURABA;(M) ZAPADORES;#0951BC
209;ALAMEDA;EL VOLCAN;#0951BC
209e;ALAMEDA;EL VOLCAN;#0951BC
210;ESTACION CENTRAL;PUENTE ALTO;#0951BC
210v;ESTACION CENTRAL;PUENTE ALTO;#0951BC
211;LA FLORIDA;NOS;#0951BC
211c;(M) LA CISTERNA;SAN BERNARDO;#0951BC
212;PROVIDENCIA;LA PINTANA;#0951BC
213e;PLAZA ITALIA;PUENTE ALTO;#FFC107
214;SANTA OLGA;LOS LIBERTADORES;#0951BC
216;PABLO DE ROKHA;VITACURA;#0951BC
217e;MAESTRANZA;(M) SANTA ANA;#0951BC
219e;(M) LA CISTERNA;CIUDAD EMPRESARIAL;#0951BC
221e;PUENTE ALTO;MATUCANA;#0951BC
223;CIUDAD EMPRESARIAL;LO ESPEJO;#0951BC
224;ÑUñOA;GABRIELA;#0951BC
224c;(M) VICENTE VALDES;GABRIELA;#0951BC
225;LAS CONDES;BAHíA CATALINA;#0951BC
226;MAPOCHO;NONATO COO;#0951BC
227;VILLA FREI;PEDRO AGUIRRE CERDA;#0951BC
228;(M) LA CISTERNA;ANGELMO;#0951BC
229;(M) LA MONEDA;LA PINTANA;#0951BC
230;LOS LIBERTADORES;ENTRO;#0951BC
262N;(M) MACUL;VILLA ESPAñA;#0951BC
264N;PEDRO FONTOVA;SANTO TOMAS;#0951BC
271;SANTIAGO;SAN BERNARDO;#0951BC
272;LOS LIBERTADORES;CIUDAD EMPRESARIAL;#0951BC
301;JUAN ANTONIO RíOS;ANGELMó;#00A77E
301c;(M) LA CISTERNA;ANGELMó;#00A77E
301c2;(M) LA CISTERNA;LO BLANCO ;#00A77E
302; (M) SANTA ANA;LA PINTANA;#00A77E
302N;ALAMEDA;LA PINTANA;#00A77E
302e;(M) LOS HEROES;SAN RAMóN;#00A77E
303;QUILICURA;PLAZA ITALIA;#00A77E
303e;QUILICURA;(M) SANTA ANA;#00A77E
307;LO MARCOLETA;PLAZA ITALIA;#00A77E
307c;LO MARCOLETA;(M) LOS LIBERTADORES;#00A77E
307e;RIGOBERTO JARA;PLAZA ITALIA;#00A77E
308;LO MARCOLETA;MAPOCHO;#00A77E
308c;SAN LUIS;(M) LOS LIBERTADORES;#00A77E
313e;QUILICURA;ESTACION CENTRAL ;#00A77E
314;LO MARCOLETA;PLAZA ITALIA;#00A77E
314c;PARINACOTA;(M) LOS LIBERTADORES;#00A77E
315c;RIGOBERTO JARA;(M) LOS LIBERTADORES;#00A77E
315e;RIGOBERTO JARA;PLAZA ITALIA;#00A77E
321;(M) LO OVALLE;LO SIERRA;#00A77E
322;(M) BELLAVISTA DE LA FLORIDA ;JARDIN ALTO;#00A77E
323;(M) BELLAVISTA DE LA FLORIDA ;LA LOMA;#00A77E
325;GABRIELA;(M) IRARRAZAVAL;#00A77E
329;MALL FLORIDA CENTER;MALL PLAZA OESTE;#00A77E
345;LO ESPEJO;ALAMEDA;#00A77E
346N;LO ESPEJO;ALAMEDA;#00A77E
348;RINCONADA;(M) LO OVALLE;#00A77E
350;CIUDAD SATéLITE;RINCONADA;#00A77E
350c;RINCONADA;(M) PLAZA DE MAIPú;#00A77E
385;V. FRANCIA;  MALL F. CENTER;#00A77E
401;MAIPU;HOSPITAL DIPRECA;#F58220
401c;(M) ESCUELA MILITAR;LAS CONDES;#F58220
402;PUDAHUEL;MAPOCHO;#F58220
403;(M) SANTA ANA;LA REINA;#F58220
404;EL DESCANSO;MAPOCHO;#F58220
404c;EL DESCANSO;(M) LAS REJAS;#F58220
405;MAIPU;CANTAGALLO;#F58220
405c;PLAZA ITALIA;VITACURA;#F58220
406; PUDAHUEL;CANTAGALLO;#F58220
406c;(M) ESCUELA MILITAR;EL RODEO;#F58220
407;ENEA;HOSPITAL DIPRECA;#F58220
408;RENCA;MAPOCHO;#00929E
408e;RENCA;MAPOCHO;#00929E
409;MAPOCHO;PLAZA SAN ENRIQUE;#F58220
410;RENCA;PROVIDENCIA;#ED1C24
410e;RENCA;PROVIDENCIA;#ED1C24
411;PROVIDENCIA;PLAZA SAN ENRIQUE;#F58220
412;(M) SAN PABLO;LA REINA;#F58220
413c;AVENIDA PORTALES;(M) LAS REJAS;#F58220
413v;AVENIDA PORTALES;(M) PLAZA DE MAIPU;#F58220
414e;(M) PUDAHUEL;LOS TRAPENSES;#F58220
415e;(M) PUDAHUEL;(M) MANQUEHUE;#F58220
417e;MAIPU;(M) MANQUEHUE;#F58220
418;ENEA;AV. TOBALABA;#F58220
419;VILLA LOS HEROES;PLAZA ITALIA;#F58220
420e;(M) ESCUELA MILITAR;LO HERMIDA;#F58220
421;MAIPU;SAN CARLOS DE APOQUINDO;#F58220
422;POBL. TENIENTE MERINO;LA REINA;#F58220
422c;POB. TENIENTE MERINO; (M) SAN PABLO;#F58220
423;SEGUNDA TRANSVERSAL;PLAZA ITALIA;#F58220
424;PUDAHUEL SUR;(M) U. DE CHILE;#00929E
425;RIGOBERTO JARA;LO HERMIDA;#F58220
426; PUDAHUEL;LA DEHESA;#F58220
428;QUILICURA;(M) LA CISTERNA;#F58220
428c;PUDAHUEL;(M) LA CISTERNA;#F58220
428e;QUILICURA;(M) LA CISTERNA;#F58220
429;LO ECHEVERS;LO HERMIDA;#F58220
429c;QUILICURA;(M) TOBALABA;#F58220
430;QUILICURA;LA DEHESA;#F58220
431c;NUEVA SAN MARTIN; (M) LAS REJAS;#F58220
431v;NUEVA SAN MARTíN;(M) PLAZA DE MAIPU;#F58220
432N;MAIPU;LA REINA;#F58220
435;QUILICURA;VITACURA;#F58220
481;PLAZA ITALIA;CERRILLOS;#F58220
486;ENEA;(M) SAN PABLO;#F58220
501;(M) PARQUE BUSTAMANT;VITAL APOQUINDO;#00929E
502;CERRO NAVIA;CANTAGALLO;#00929E
502c;CERRO NAVIA;SANTIAGO;#00929E
503;AV. LA ESTRELLA ;VITAL APOQUINDO;#00929E
504;ENEA;HOSPITAL DIPRECA;#00929E
505;CERRO NAVIA;PEñALOLEN;#00929E
506;MAIPU;PEñALOLEN;#00929E
506e;MAIPU;PEñALOLEN;#00929E
506v;VILLA EL ABRAZO;PEñALOLEN;#00929E
507;ENEA;AV. GRECIA;#00929E
507c;(M) PARQUE O'HIGGINS;PEñALOLEN;#00929E
508;ENE;AV. LAS TORRES;#00929E
509;MAIPU;MAPOCHO;#00929E
510;PUDAHUEL SUR;RIO CLARO;#00929E
511;CERRO NAVIA;PEñALOLEN;#00929E
513;EL MONTIJO;JOSE ARRIETA;#00929E
514;ENEA;SAN LUIS DE MACUL;#00929E
514c;(M) SALVADOR;AN LUIS DE MACUL;#00929E
515N;CENTR;AN LUIS DE MACUL;#00929E
516;PUDAHUEL SU;LAS PARCELAS;#00929E
517;J.J.PEREZ ;PEñALOLEN;#00929E
518;J.J. PEREZ;BILBAO;#00929E
519;ALAMEDA;AV.GRECIA;#00929E
541N;EL TRANQUE;COLON;#00929E
546e;EL ABRAZO;VITACURA;#00929E
712;PUENTE ALTO;RECOLETA;#FFC107
712N;PUENTE ALTO;(M) ESCUELA MILITAR;#FFC107
B01;EL SALTO;HUAMACHUCO;#ED1C24
B02;CAMINO PUNTA MOCHA;ESTACIóN MAPOCHO;#ED1C24
B02N;HUECHURABA;PLAZA ITALIA;#ED1C24
B03;MIRAFLORES;(M) CERRO BLANCO;#ED1C24
B04;EL CORTIJO;MAPOCHO;#ED1C24
B04v;EL CORTIJO;(M) CERRO BLANCO;#ED1C24
B05;BARRIO SAN IGNACIO;CIUDAD EMPRESARIAL;#ED1C24
B06;(M) ZAPADORES;SANTA LAURA;#ED1C24
B07;PARQUE INDUSTRIAL;(M) LOS LIBERTADORES;#ED1C24
B08;LO MARCOLETA;MALL PLAZA NORTE;#ED1C24
B09;LO MARCOLETA;MALL PLAZA NORTE;#ED1C24
B10;LO BOZA;HOSPITAL FELIX BULNES;#ED1C24
B11;EL SALTO;LO MARCOLETA;#ED1C24
B12;(M) ZAPADORES;LO MARCOLETA;#ED1C24
B12c;LO MARCOLETA;(M) LOS LIBERTADORES;#ED1C24
B13;(M) VESPUCIO NORTE;LO MARCOLETA;#ED1C24
B14;EL SALTO;MAPOCHO;#ED1C24
B15;ARZOBISPO VALDIVIESO;MAPOCHO;#ED1C24
B16;EL CARMEN;(M) VESPUCIO NORTE;#ED1C24
B17;HUAMACHUCO;AV. ARZOBISPO VALDIVIESO;#ED1C24
B18;VILLA PUCARA;(M) VESPUCIO NORTE;#ED1C24
B18e;VILLA PUCARA;(M) VESPUCIO NORTE;#ED1C24
B19;HUECHURABA;CAMINO PUNTA MOCHA;#ED1C24
B20;MIRAFLORES;MAPOCHO;#ED1C24
B21;PLAZA CHACABUCO;LO MARCOLETA;#ED1C24
B22;PALACIO RIESCO;URMENETA;#ED1C24
B23;REINA MARíA;MAPOCHO;#ED1C24
B24;HUAMACHUCO;MAPOCHO;#ED1C24
B25;(M) VESPUCIO NORTE;(M) CERRO BLANCO;#ED1C24
B26;EL CORTIJO;(M) ESTACION CENTRAL;#ED1C24
B27;(M) VESPUCIO NORTE;MAPOCHO;#ED1C24
B28;HUAMACHUCO;(M) ESTACIóN CENTRAL;#ED1C24
B29;RENCA;(M) SANTA ANA;#ED1C24
B30N;RENCA;CENTRO;#ED1C24
B31N;ALAMEDA;QUILICURA;#ED1C24
C01;(M) FRANCISCO BILBAO;CERRO 18;#ED1C24
C01c;(M) ESCUELA MILITAR;LA ERMITA ;#ED1C24
C02;SAN CARLOS DE APOQUINDO;(M) ESCUELA MILITAR;#ED1C24
C02c;SAN CARLOS DE APOQUINDO;(M) LOS DOMINICOS;#ED1C24
C03;ROTONDA PEREZ ZUKJOVIC;VITAL APOQUINDO;#ED1C24
C03c;LO GALLO;VITAL APOQUINDO;#ED1C24
C05;LA ERMITA;(M) FRANCISCO BILBAO;#ED1C24
C06;VITAL APOQUINDO;(M) TOBALABA;#ED1C24
C06c;VITAL APOQUINDO;(M) COLON;#ED1C24
C07;LA PIRAMIDE;(M) FRANCISCO BILBAO;#ED1C24
C08;CAMINO REAL;CANTAGALLO;#ED1C24
C09;LA DEHESA;NUEVA BILBAO;#ED1C24
C10e;(M) TOBALABA;CAMINO JUAN PABLO II;#ED1C24
C11;(M) ESCUELA MILITAR;TABANCURA;#ED1C24
C12;CAMINO JUAN PABLO II;CANTAGALLO;#ED1C24
C13;CANTAGALLO;LA LAGUNA;#ED1C24
C14;(M) ESCUELA MILITAR;LOS TRAPENSES;#ED1C24
C15;(M) ESCUELA MILITAR;ESTORIL;#ED1C24
C16;VITAL APOQUINDO;EL HUINGANAL;#ED1C24
C17;CERRO 18;LOS TRAPENSES;#ED1C24
C18;(M) ESCUELA MILITAR;CIUDAD EMPRESARIAL;#ED1C24
C19;BERNARDO LARRAIN COTAPOS;CANTAGALLO;#ED1C24
C20;(M) ESCUELA MILITAR;PARQUE ARAUCO;#ED1C24
C21N;LOS TRAPENSES;(M) ESCUELA MILITAR;#ED1C24
C22;(M) ESCUELA MILITAR;ROTONDA LO CURRO;#ED1C24
D01;PLAZA EGAñA (M);CONSISTORIAL;#F58220
D02;(M) IRARRAZAVAL;DIAGONAL LAS TORRES;#F58220
D03;(M) TOESCA;LAS PARCELAS;#F58220
D03c;(M) PLAZA EGAñA;LAS PARCELAS;#F58220
D05;(M) FRANKLIN;MARIA ANGELICA;#F58220
D07;DIAGONAL LAS TORRES;(M) FRANKLIN;#F58220
D07c;DIAGONAL LAS TORRES;(M) LOS PRESIDENTES;#F58220
D08;AV. GRECIA;(M) FRANCISCO BILBAO;#F58220
D09;AV. GRECIA ORIENTE;(M) MANUEL MONTT;#F58220
D09N;AV. GRECIA ORIENTE;(M) SANTA ANA;#F58220
D10;(M) CARLOS VALDOVINOS;ALVARO CASANOVA;#F58220
D11;DIAGONAL LAS TORRES;MALL ALTO LAS CONDES;#F58220
D13;(M) BELLAVISTA DE LA FLORIDA;(M) IRARRAZAVAL;#00A77E
D14;(M) PEDRERO;(M) QUILIN;#F58220
D15;DIAGONAL LAS TORRES;(M) FRANCISCO BILBAO;#F58220
D16;(M) QUILIN;(M) FRANCISCO BILBAO;#F58220
D17;ALTO MACUL;(M) QUILIN;#F58220
D17v;LAS PIRCAS; (M) QUILIN;#F58220
D18;DIAGONAL LAS TORRES;(M) SANTA ISABEL;#F58220
D20;DIAGONAL LAS TORRES;AV. LAS TORRES;#F58220
E01;SAN JOSE DE LA ESTRELLA;(M) SANTA ROSA;#00A77E
E02;(M) LO OVALLE;DIEGO PORTALES;#00A77E
E03;(M) LO OVALLE ;JARDIN ALTO;#00A77E
E04;AV. LA FLORIDA;(M) FRANKLIN;#00A77E
E05;(M) LA CISTERNA ;(M) BELLAVISTA DE LA FLORIDA;#00A77E
E06;(M) BELLAVISTA DE LA FLORIDA ;MARIA ANGELICA;#00A77E
E07;(M) BELLAVISTA DE LA FLORIDA ;ROJAS MAGALLANES;#00A77E
E08;DIEGO PORTALES;(M) BELLAVISTA DE LA FLORIDA;#00A77E
E09;(M) ELISA CORREA;(M) SANTA ROSA;#00A77E
E10;EL HUALLE;SANTA ROSA P21;#00A77E
E11;DIEGO PORTALES;(M) SANTA ROSA;#00A77E
E12;SANTA ROSA P18;MARIA ELENA;#00A77E
E13;GABRIELA;(M) BELLAVISTA DE LA FLORIDA;#00A77E
E14;SAN JOSE DE LA ESTRELLA;(M) BELLAVISTA DE LA FLORIDA;#00A77E
E15c;GABRIELA;(M) BELLAVISTA DE LA FLORIDA;#00A77E
E16;GABRIELA;(M) SANTA ROSA;#00A77E
E17;(M) BELLAVISTA DE LA FLORIDA;LAS PERDICES;#00A77E
E18;HOSPITAL PADRE HURTADO;(M) BELLAVISTA DE LA FLORIDA;#00A77E
F01;VILLA PADRE HURTADO;CASAS VIEJAS;#FFC107
F01c;(M) PLAZA PUENTE ALTO;CASAS VIEJAS;#FFC107
F02;PIE ANDINO;SAN GERóNIMO;#FFC107
F03;(M) PLAZA PUENTE ALTO;PLAZA SAN BERNARDO;#FFC107
F03c;PIE ANDINO;VILLA LAS MAMIñAS;#FFC107
F05;(M) LA CISTERNA;PIE ANDINO;#FFC107
F06;(M) LA CISTERNA;PIE ANDINO;#FFC107
F07;MALL PLAZA TOBALABA;VILLA PADRE HURTADO;#FFC107
F08;VILLA PADRE HURTADO;DIEGO PORTALES;#FFC107
F09;PIE ANDINO;(M) ELISA CORREA;#FFC107
F10;SAN GUILLERMO;MALL PLAZA TOBALABA;#FFC107
F11;LAS VIZCACHAS;PIE ANDINO;#FFC107
F12;BAJOS DE MENA;(M) PLAZA PUENTE ALTO;#FFC107
F12c;AV. JUANITA;(M) PLAZA PUENTE ALTO ;#FFC107
F13;BAJOS DE MENA;MALL PLAZA TOBALABA;#FFC107
F13c;BAJOS DE MENA;(M) PLAZA PUENTE ALTO;#FFC107
F14;VILLA PADRE HURTADO;(M) PLAZA PUENTE ALTO;#FFC107
F15;BAJOS DE MENA;(M) ELISA CORREA;#FFC107
F16;VILLA PADRE HURTADO;RIVERA RIO MAIPO;#FFC107
F18;VILLA CHILOé;(M) PLAZA PUENTE ALTO;#FFC107
F19;PIE ANDINO;MALL PLAZA TOBALABA;#FFC107
F20;(M) LA CISTERNA;PIE ANDINO;#FFC107
F24;CASAS VIEJAS; (M) ELISA CORREA;#FFC107
F25;BAJOS DE MENA;(M) BELLAVISTA DE LA FLORIDA;#FFC107
F25e;BAJOS DE MENA;(M) BELLAVISTA DE LA FLORIDA;#FFC107
F26;VILLA PADRE HURTADO;SAN CARLOS ORIENTE;#FFC107
F27;VILLA PADRE HURTADO;VILLA PORTEZUELO ORIENTE;#FFC107
F28N;LA PRIMAVERA;DIEGO PORTALES;#FFC107
F29;PIE ANDINO;CASAS VIEJAS;#FFC107
F30N;BAJOS DE MENA;LA MONEDA;#FFC107
G01;VILLA 4 DE SEPTIEMBRE;SANTO TOMáS;#0951BC
G01c;VILLA 4 DE SEPTIEMBRE;SANTA ROSA P. 21;#0951BC
G02;PLAZA SAN BERNARDO;PUENTE LOS MORROS;#0951BC
G04;(M) LA CISTERNA;SANTO TOMáS;#0951BC
G05;EL CASTILLO;(M) LA CISTERNA;#0951BC
G07;SAN FRANCISCO;LO HERRERA;#0951BC
G08;POBLACIóN LA SELVA;(M) LA CISTERNA;#0951BC
G08v;NOS;(M) LA CISTERNA;#0951BC
G09;LO BLANCO;SANTA MARGARITA;#0951BC
G11;LO BLANCO;(M) LO OVALLE;#0951BC
G12;(M) LO OVALLE;CEMENTERIO METROPOLITANO;#0951BC
G13;(M) LA CISTERNA;EL CASTILLO;#0951BC
G14;LO BLANCO;POBLACIóN VALLE NEVADO;#0951BC
G15;(M) LA CISTERNA;SANTO TOMáS;#0951BC
G16;(M) LA CISTERNA;LO BLANCO;#0951BC
G18;SANTO TOMAS;(M) LO OVALLE;#0951BC
G22;VILLA ESPAñA;(M) LA CISTERNA;#0951BC
G23;ESTACION BLANCO;SANTA ROSA P43;#0951BC
H02;(M) CARLOS VALDOVINOS;(M) LO VIAL ;#00A77E
H03;(M) LO OVALLE;MALL PLAZA OESTE;#00A77E
H04;(M) CARLOS VALDOVINOS ; LA VICTORIA;#00A77E
H05;(M) CARLOS VALDOVINOS;POBL. DAVILA;#00A77E
H05c;POBL. DAVILA;(M) DEPARTAMENTAL;#00A77E
H06;POBL. LAS TURBINAS;AV. MATTA;#00A77E
H07;(M) ÑUBLE ;(M) LO OVALLE;#00A77E
H08;POBL.  LAS TURBINAS;(M) LO OVALLE;#00A77E
H09;POBL. DAVILA;(M) CARLOS VALDOVINOS;#00A77E
H12;LO ESPEJO;(M) FRANKLIN;#00A77E
H13;SANTA OLGA;POSTA CENTRAL;#00A77E
H14;MALL FLORIDA CENTER;(M) FRANKLIN;#00A77E
I01;VILLA LOS HéROES;HOSPITAL BORJA ARRIARáN;#00A77E
I02;RINCONADA;(M) LAGUNA SUR;#00A77E
I03;VILLA LOS HéROES;VILLA PORTALES;#00A77E
I03c;VALLE VERDE;(M) SAN ALBERTO HURTADO;#00A77E
I04;VILLA EL ABRAZO;(M) SAN ALBERTO HURTADO;#00A77E
I04c;VILLA EL ABRAZO;(M) PLAZA MAIPU;#00A77E
I04e;VILLA EL ABRAZO;(M) PLAZA MAIPU;#00A77E
I05;RINCONADA;(M) LO OVALLE;#00A77E
I07;RINCONADA;MALL ARAUCO MAIPU;#00A77E
I08;MALL ARAUCO MAIPú;(M) SAN ALBERTO HURTADO;#00A77E
I08N;LA FARFANA;ALAMEDA;#00A77E
I08c;LA FARFANA;(M) DEL SOL;#00A77E
I09;RINCONADA;(M) ULA;#00A77E
I09c;RINCONADA;(M) LAS REJAS;#00A77E
I09e;RINCONADA;(M) ULA;#00A77E
I10;VILLA LOS HéROES;USACH;#00A77E
I10N;VILLA LOS HEROES;ALAMEDA;#00A77E
I11;CIUDAD SATELITE;(M) PLAZA MAIPU;#00A77E
I12;PUEBLITO LA FARFANA;MALL FLORIDA CENTER;#00A77E
I13;VILLA LOS PRESIDENTES;(M) SAN ALBERTO HURTADO;#00A77E
I14;MALL PLAZA OESTE;ESTACIóN CENTRAL;#00A77E
I14N;MALL PLAZA OESTE;CENTRO;#00A77E
I16;POBLACION SANTIAGO;FERROCARRIL;#00A77E
I17;VILLA FRANCIA;HOSPITAL SAN JUAN DE DIOS;#00A77E
I18;RINCONADA;(M) ULA;#00A77E
I20;VALLE VERDE;MARTA OSSA RUIZ;#00A77E
I21;VILLA HERNAN DíAZ;(M) PLAZA MAIPU;#00A77E
I22;LA FARFANA;(M) DEL SOL;#00A77E
I24;VILLA LOS MAITENES;PLAZA OESTE;#00A77E
I25;(M) CERRILLOS;VILLA S. HENRíQUEZ;#00A77E
J01;PUDAHUEL SUR;(M) QUINTA NORMAL;#00929E
J01c;(M) SAN PABLO;CARRASCAL;#00929E
J02;ENEA;(M) ULA;#00929E
J03;COSTANERA SUR;(M) REPUBLICA;#00929E
J04;(M) NEPTUNO;LA ALIANZA;#00929E
J05;COSTANERA SUR;(M) ULA;#00929E
J06;(M) PUDAHUEL;(M) PAJARITOS;#00929E
J07;NOVICIADO;(M) PUDAHUEL;#00929E
J07c;(M) PUDAHUEL;LO BOZA;#00929E
J07e;NOVICIADO;(M) PUDAHUEL;#00929E
J08;PUDAHUEL SUR ;HOSPITAL FELIX BULNES;#00929E
J10;SAN DANIEL;PARQUE DE LOS REYES;#00929E
J11;LOMAS DE LO AGUIRRE;(M) PAJARITOS;#00929E
J12;(M) PAJARITOS;CIUDAD DE LOS VALLES;#00929E
J13;(M) ESTACIóN CENTRAL;COSTANERA SUR;#00929E
J13c;(M) SAN PABLO;COSTANERA SUR;#00929E
J14c;VILLA ROOSEVELT;PUDAHUEL SUR;#00929E
J15c;LA ALIANZA;(M) NEPTUNO;#00929E
J16;COSTANERA SUR;(M) ESTACIóN CENTRAL;#00929E
J17;(M) PAJARITO;PUERTO SANTIAGO;#00929E
J18;ENEA;(M) SAN PABLO;#00929E
J18c;EL TRANQUE;(M) SAN PABLO;#00929E
J19;PUDAHUEL SUR;(M) QUINTA NORMAL ;#00929E
J20;EL MONTIJO;(M) PUDAHUEL;#00929E
L1;SAN PABLO;LOS DOMINICOS;#FA0727
L2;VESPUCIO NORTE;LA CISTERNA;#FFC107
L3;LOS LIBERTADORE;FERNANDO CASTILLO VELASC;#83441D
L4;TOBALABA;PLAZA DE PUENTE ALTO;#1A1D6A
L4A;LA CISTERNA;VICUñA MACKENNA;#0A5FCA
L5;PLAZA DE MAIPú;VICENTE VALDéS;#008A63
L6;CERRILLOS;LOS LEONE;#9933FF
MTN;METROTREN NO;;#151CF3
MTR;METROTREN RANCAGU;;#F3B015
