service;origin;destiny;color;color_id
101;RECOLETA;CERRILLOS;00D5FF;4
101c;(M) BLANQUEADO;CERRILLOS;00D5FF;4
102;(M) BLANQUEADO;MALL PLAZA TOBALABA;00D5FF;4
103;PROVIDENCIA;SAN JOAQUIN;00D5FF;4
104;PROVIDENCIA;MALL PLAZA TOBALABA;00D5FF;4
105;RENCA;LO ESPEJO;00D5FF;4
106;NUEVA SAN MARTIN;LA FLORIDA;00D5FF;4
107;CIUDAD EMPRESARIAL;AV. DEPARTAMENTAL;00D5FF;4
107c;CIUDAD EMPRESARIAL;PLAZA RENCA;00D5FF;4
108;MAIPU;LA FLORIDA;00D5FF;4
109;RENCA;MAIPU;00D5FF;4
109N;(M) QUINTA NORMAL;MAIPU;00D5FF;4
110;RENCA;MAIPU;00D5FF;4
110c;RENCA;PUDAHUEL SUR;00D5FF;4
111;(M) PAJARITO;CIUDAD SATELITE;00D5FF;4
112N;AV. LA FLORIDA;RECOLETA;00D5FF;4
113;CIUDAD SATELITE;(M) LA MONEDA;00D5FF;4
113e;CIUDAD SATELITE;(M) LA MONEDA;00D5FF;4
114;PROVIDENCI;MALL PLAZA TOBALABA;00D5FF;4
115;VILLA EL ABRAZO;(M) LA MONEDA;00D5FF;4
116;HUECHURABA;SANTIAGO CENTRO;00D5FF;4
117;(M) VESPUCIO NORTE;SAN JOAQUIN;00D5FF;4
117c;HUECHURABA;PROVIDENCIA;00D5FF;4
118;MAIPU;MALL PLAZA VESPUCIO;00D5FF;4
119;MAPOCHO;LO ESPEJO;00D5FF;4
120;RENCA;(M) LA CISTERNA;00D5FF;4
121;MAPOCHO;LO ESPEJO;00D5FF;4
125;(M) U. DE CHILE;LO ESPEJO;00D5FF;4
126;(M) MANUEL MONTT;LA HIGUERA;00D5FF;4
201;MALL PLAZA NORTE;SAN BERNARDO;0067AC;5
201e;MALL PLAZA NORTE;SAN BERNARDO;0067AC;5
202c;EL CORTIJO;MAPOCHO;0067AC;5
203;HUECHURABA;LA PINTANA;0067AC;5
203e;HUECHURABA;LA PINTANA;0067AC;5
204;ALAMEDA;GABRIELA;0067AC;5
204e;ALAMEDA;GABRIELA;0067AC;5
205;SANTIAGO;PUENTE ALTO;0067AC;5
205e;SANTIAGO;PUENTE ALTO;0067AC;5
206;CENTRO;LA PINTANA;0067AC;5
206e;CENTRO;LA PINTANA;0067AC;5
207c;LA GRANJA;LA PINTANA;0067AC;5
207e;MAPOCHO;LA PINTANA;0067AC;5
208;HUECHURABA;CENTRO;0067AC;5
208c;HUECHURABA;(M) ZAPADORES;0067AC;5
209;ALAMEDA;EL VOLCAN;0067AC;5
209e;ALAMEDA;EL VOLCAN;0067AC;5
210;ESTACION CENTRAL;PUENTE ALTO;0067AC;5
210v;ESTACION CENTRAL;PUENTE ALTO;0067AC;5
211;LA FLORIDA;NOS;0067AC;5
211c;(M) LA CISTERNA;SAN BERNARDO;0067AC;5
211e;LA FLORIDA;SAN BERNARDO ;0067AC;5
212;PROVIDENCIA;LA PINTANA;0067AC;5
213e;PLAZA ITALIA;PUENTE ALTO;FFD400;3
214;SANTA OLGA;EL CORTIJO;0067AC;5
216;PABLO DE ROKHA;VITACURA;0067AC;5
217e;MAESTRANZA;(M) SANTA ANA;0067AC;5
218e;SAN BERNARDO;MATUCANA;0067AC;5
219e;(M) LA CISTERNA;CIUDAD EMPRESARIAL;0067AC;5
221e;PUENTE ALTO;MATUCANA;0067AC;5
222e;PUENTE ALTO;(M) SANTA ANA;0067AC;5
223;CIUDAD EMPRESARIAL;LO ESPEJO;0067AC;5
224;ÑUñOA;GABRIELA;0067AC;5
224N;(M) PEDRERO;GABRIELA;0067AC;5
224c;(M) VICENTE VALDES;GABRIELA;0067AC;5
225;LAS CONDES;BAHíA CATALINA;0067AC;5
226;MAPOCHO;NONATO COO;0067AC;5
227;VILLA FREI;PEDRO AGUIRRE CERDA;0067AC;5
228;(M) LA CISTERNA;ANGELMO;0067AC;5
229;(M) LA MONEDA;LA PINTANA;0067AC;5
230;CONCHALí;LA PINTANA;0067AC;5
261e;(M) LOS HEROES;SAN BERNARDO;0067AC;5
301;JUAN ANTONIO RíOS;ANGELMó;00B33C;6
301c;(M) LA CISTERNA;ANGELMó;00B33C;6
301c2;(M) LA CISTERNA;LO BLANCO ;00B33C;6
301e;(M) LA MONEDA;ANGELMó;00B33C;6
302; (M) SANTA ANA;LA PINTANA;00B33C;6
302N;ALAMEDA;LA PINTANA;00B33C;6
302e;(M) LOS HEROES;SAN RAMóN;00B33C;6
303;QUILICURA;PLAZA ITALIA;00B33C;6
303e;QUILICURA;(M) SANTA ANA;00B33C;6
307;LO MARCOLETA;PLAZA ITALIA;00B33C;6
307e;RIGOBERTO JARA;PLAZA ITALIA;00B33C;6
308;LO MARCOLETA;MAPOCHO;00B33C;6
312e;QUILICURA; MAPOCHO;00B33C;6
313e;QUILICURA;ESTACION CENTRAL ;00B33C;6
314;LO MARCOLETA;PLAZA ITALIA;00B33C;6
314e;LO MARCOLETA;PLAZA ITALIA;00B33C;6
315e;RIGOBERTO JARA;PLAZA ITALIA;00B33C;6
316e;SAN IGNACIO;(M) CAL Y CANTO;00B33C;6
321;(M) LO OVALLE;LO SIERRA;00B33C;6
322;(M) BELLAVISTA DE LA FLORIDA ;JARDIN ALTO;00B33C;6
323;(M) BELLAVISTA DE LA FLORIDA ;LA LOMA;00B33C;6
345;LO ESPEJO;ALAMEDA;00B33C;6
346N;LO ESPEJO;ALAMEDA;00B33C;6
348;RINCONADA;(M) LO OVALLE;00B33C;6
350;CIUDAD SATéLITE;RINCONADA;00B33C;6
350c;RINCONADA;(M) PLAZA DE MAIPú;00B33C;6
385;V. FRANCIA;  MALL F. CENTER;00B33C;6
401;MAIPU;HOSPITAL DIPRECA;F58220;2
401N;MAIPU;LOS DOMíNICOS;F58220;2
402;PUDAHUEL;MAPOCHO;F58220;2
403;(M) SANTA ANA;LA REINA;F58220;2
404;EL DESCANSO;MAPOCHO;F58220;2
404c;EL DESCANSO;(M) LAS REJAS;F58220;2
405;MAIPU;CANTAGALLO;F58220;2
405c;PLAZA ITALIA;VITACURA;F58220;2
406; PUDAHUEL;CANTAGALLO;F58220;2
406c;(M) ESCUELA MILITAR;CANTAGALLO;F58220;2
407;ENEA;HOSPITAL DIPRECA;F58220;2
408;RENCA;MAPOCHO;00D5FF;4
408e;RENCA;MAPOCHO;00D5FF;4
409;MAPOCHO;PLAZA SAN ENRIQUE;F58220;2
410;RENCA;PROVIDENCIA;00D5FF;4
410e;RENCA;PROVIDENCIA;00D5FF;4
411;PROVIDENCIA;PLAZA SAN ENRIQUE;F58220;2
412;(M) SAN PABLO;LA REINA;F58220;2
413c;AVENIDA PORTALES;(M) LAS REJAS;F58220;2
413v;AVENIDA PORTALES;(M) PLAZA DE MAIPU;F58220;2
414e;(M) PUDAHUEL;LOS TRAPENSES;F58220;2
415e;(M) PUDAHUEL;(M) MANQUEHUE;F58220;2
417e;MAIPU;(M) MANQUEHUE;F58220;2
418;ENEA;AV. TOBALABA;F58220;2
419;VILLA LOS HEROES;PLAZA ITALIA;F58220;2
420e;(M) ESCUELA MILITAR;LO HERMIDA;F58220;2
421;MAIPU;SAN CARLOS DE APOQUINDO;F58220;2
422;POBL. TENIENTE MERINO;LA REINA;F58220;2
423;SEGUNDA TRANSVERSAL;PLAZA ITALIA;F58220;2
424;PUDAHUEL SUR;(M) U. DE CHILE;00D9A3;7
425;RIGOBERTO JARA;LO HERMIDA;F58220;2
426; PUDAHUEL;LA DEHESA;F58220;2
427;PUDAHUEL;HOSPITAL DIPRECA;F58220;2
428;QUILICURA;(M) LA CISTERNA;F58220;2
428c;PUDAHUEL;(M) LA CISTERNA;F58220;2
428e;QUILICURA;(M) LA CISTERNA;F58220;2
429;LO ECHEVERS;LO HERMIDA;F58220;2
429c;QUILICURA;(M) TOBALABA;F58220;2
430;QUILICURA;LA DEHESA;F58220;2
431c;NUEVA SAN MARTIN; (M) LAS REJAS;F58220;2
431v;NUEVA SAN MARTíN;(M) PLAZA DE MAIPU;F58220;2
435;QUILICURA;VITACURA;F58220;2
501;(M) PARQUE BUSTAMANT;VITAL APOQUINDO;00D9A3;7
502;CERRO NAVIA;CANTAGALLO;00D9A3;7
502c;CERRO NAVIA;SANTIAGO;00D9A3;7
503;AV. LA ESTRELLA ;VITAL APOQUINDO;00D9A3;7
504;ENEA;HOSPITAL DIPRECA;00D9A3;7
505;CERRO NAVIA;PEñALOLEN;00D9A3;7
506;MAIPU;PEñALOLEN;00D9A3;7
506e;MAIPU;PEñALOLEN;00D9A3;7
506v;VILLA EL ABRAZO;PEñALOLEN;00D9A3;7
507;ENEA;AV. GRECIA;00D9A3;7
507c;(M) PARQUE O'HIGGINS;PEñALOLEN;00D9A3;7
508;ENE;AV. LAS TORRES;00D9A3;7
509;MAIPU;MAPOCHO;00D9A3;7
510;PUDAHUEL SUR;RIO CLARO;00D9A3;7
510c;PUDAHUEL SUR;(M) PAJARITOS;00D9A3;7
511;CERRO NAVIA;PEñALOLEN;00D9A3;7
513;EL MONTIJO;JOSE ARRIETA;00D9A3;7
513v;HOSPITAL SALVADOR;JOSE ARRIETA;00D9A3;7
514;ENEA;SAN LUIS DE MACUL;00D9A3;7
514c;(M) SALVADOR;AN LUIS DE MACUL;00D9A3;7
515N;CENTR;AN LUIS DE MACUL;00D9A3;7
516;PUDAHUEL SU;LAS PARCELAS;00D9A3;7
517;J.J.PEREZ ;PEñALOLEN;00D9A3;7
518;J.J. PEREZ;BILBAO;00D9A3;7
519e;ALAMEDA;AV.GRECIA;00D9A3;7
541N;EL TRANQUE;COLON;00D9A3;7
546e;EL ABRAZO;VITACURA;00D9A3;7
712;PUENTE ALTO;RECOLETA;FFD400;3
B01;EL SALTO;HUAMACHUCO;ED1C24;1
B02;CAMINO PUNTA MOCHA;ESTACIóN MAPOCHO;ED1C24;1
B02N;HUECHURABA;PLAZA ITALIA;ED1C24;1
B03;MIRAFLORES;(M) CERRO BLANCO;ED1C24;1
B04;EL CORTIJO;MAPOCHO;ED1C24;1
B04v;EL CORTIJO;(M) CERRO BLANCO;ED1C24;1
B05;BARRIO SAN IGNACIO;CIUDAD EMPRESARIAL;ED1C24;1
B06;(M) ZAPADORES;SANTA LAURA;ED1C24;1
B07;SANTA LUISA;PARQUE INDUSTRIAL;ED1C24;1
B08;LO MARCOLETA;MALL PLAZA NORTE;ED1C24;1
B09;LO MARCOLETA;MALL PLAZA NORTE;ED1C24;1
B10;LO BOZA;HOSPITAL FELIX BULNES;ED1C24;1
B11;EL SALTO;LO MARCOLETA;ED1C24;1
B12;(M) ZAPADORES;LO MARCOLETA;ED1C24;1
B13;(M) VESPUCIO NORTE;LO MARCOLETA;ED1C24;1
B14;EL SALTO;MAPOCHO;ED1C24;1
B15;ARZOBISPO VALDIVIESO;MAPOCHO;ED1C24;1
B16;EL CARMEN;(M) VESPUCIO NORTE;ED1C24;1
B17;HUAMACHUCO;AV. ARZOBISPO VALDIVIESO;ED1C24;1
B18;VILLA PUCARA;(M) VESPUCIO NORTE;ED1C24;1
B18e;VILLA PUCARA;(M) VESPUCIO NORTE;ED1C24;1
B19;HUECHURABA;CAMINO PUNTA MOCHA;ED1C24;1
B20;MIRAFLORES;MAPOCHO;ED1C24;1
B21;PLAZA CHACABUCO;LO MARCOLETA;ED1C24;1
B22;PALACIO RIESCO;URMENETA;ED1C24;1
B23;REINA MARíA;MAPOCHO;ED1C24;1
B24;HUAMACHUCO;MAPOCHO;ED1C24;1
B25;(M) VESPUCIO NORTE;(M) CERRO BLANCO;ED1C24;1
B26;EL CORTIJO;(M) ESTACION CENTRAL;ED1C24;1
B27;(M) VESPUCIO NORTE;MAPOCHO;ED1C24;1
B28;HUAMACHUCO;(M) ESTACIóN CENTRAL;ED1C24;1
B29;RENCA;(M) SANTA ANA;ED1C24;1
B30N;RENCA;CENTRO;ED1C24;1
B31N;ALAMEDA;QUILICURA;ED1C24;1
C01;(M) FRANCISCO BILBAO;CERRO 18;ED1C24;1
C01c;(M) ESCUELA MILITAR;LA ERMITA ;ED1C24;1
C02;SAN CARLOS DE APOQUINDO;(M) ESCUELA MILITAR;ED1C24;1
C02c;SAN CARLOS DE APOQUINDO;(M) LOS DOMINICOS;ED1C24;1
C03;ROTONDA PEREZ ZUKJOVIC;VITAL APOQUINDO;ED1C24;1
C03c;LO GALLO;VITAL APOQUINDO;ED1C24;1
C04;VITAL APOQUINDO;(M) MANUEL MONTT;ED1C24;1
C05;LA ERMITA;(M) FRANCISCO BILBAO;ED1C24;1
C06;VITAL APOQUINDO;(M) TOBALABA;ED1C24;1
C07;LA PIRAMIDE;(M) FRANCISCO BILBAO;ED1C24;1
C08;CAMINO REAL;CANTAGALLO;ED1C24;1
C09;LA DEHESA;NUEVA BILBAO;ED1C24;1
C10e;(M) TOBALABA;CAMINO JUAN PABLO II;ED1C24;1
C11;(M) ESCUELA MILITAR;TABANCURA;ED1C24;1
C12;CAMINO JUAN PABLO II;CANTAGALLO;ED1C24;1
C13;CANTAGALLO;LA LAGUNA;ED1C24;1
C14;(M) ESCUELA MILITAR;LOS TRAPENSES;ED1C24;1
C15;(M) ESCUELA MILITAR;ESTORIL;ED1C24;1
C16;VITAL APOQUINDO;EL HUINGANAL;ED1C24;1
C17;CERRO 18;LOS TRAPENSES;ED1C24;1
C18;(M) ESCUELA MILITAR;CIUDAD EMPRESARIAL;ED1C24;1
C19;BERNARDO LARRAIN COTAPOS;CANTAGALLO;ED1C24;1
C20;(M) ESCUELA MILITAR;PARQUE ARAUCO;ED1C24;1
C21N;EL GABINO;CANTAGALLO;ED1C24;1
C22;(M) ESCUELA MILITAR;ROTONDA LO CURRO;ED1C24;1
C23;LA ERMITA DE SAN ANTONIO ;LO BARNECHEA;ED1C24;1
D01;PLAZA EGAñA (M);CONSISTORIAL;F58220;2
D02;(M) IRARRAZAVAL;DIAGONAL LAS TORRES;F58220;2
D03;(M) TOESCA;LAS PARCELAS;F58220;2
D05;(M) FRANKLIN;LAS PERDICES;F58220;2
D06;(M) IRARRAZAVAL;(M) BELLAVISTA DE LA FLORIDA;F58220;2
D07;DIAGONAL LAS TORRES;(M) FRANKLIN;F58220;2
D07c;DIAGONAL LAS TORRES;(M) LOS PRESIDENTES;F58220;2
D08;AV. GRECIA;(M) FRANCISCO BILBAO;F58220;2
D08c;PLAZA LA REINA;(M) FRANCISCO BILBAO;F58220;2
D09;DIAGONAL LAS TORRES;(M) MANUEL MONTT;F58220;2
D10;(M) CARLOS VALDOVINOS;ALVARO CASANOVA;F58220;2
D11;DIAGONAL LAS TORRES;MALL ALTO LAS CONDES;F58220;2
D12;LAS PERDICES;(M) FRANCISCO BILBAO;F58220;2
D13;(M) BELLAVISTA DE LA FLORIDA;(M) IRARRAZAVAL;F58220;2
D14;(M) PEDRERO;(M) QUILIN;F58220;2
D15;DIAGONAL LAS TORRES;(M) FRANCISCO BILBAO;F58220;2
D16;(M) QUILIN;(M) FRANCISCO BILBAO;F58220;2
D17;ALTO MACUL;(M) QUILIN;F58220;2
D18;DIAGONAL LAS TORRES;(M) SANTA ISABEL;F58220;2
D20;DIAGONAL LAS TORRES;AV. LAS TORRES;F58220;2
E01;SAN JOSE DE LA ESTRELLA;(M) SANTA ROSA;00B33C;6
E02;(M) LO OVALLE;DIEGO PORTALES;00B33C;6
E03;(M) LO OVALLE ;JARDIN ALTO;00B33C;6
E04;AV. LA FLORIDA;(M) FRANKLIN;00B33C;6
E05;(M) LA CISTERNA ;(M) BELLAVISTA DE LA FLORIDA;00B33C;6
E06;(M) BELLAVISTA DE LA FLORIDA ;MARIA ANGELICA;00B33C;6
E07;(M) BELLAVISTA DE LA FLORIDA ;ROJAS MAGALLANES;00B33C;6
E08;DIEGO PORTALES;(M) BELLAVISTA DE LA FLORIDA;00B33C;6
E09;(M) ELISA CORREA;(M) SANTA ROSA;00B33C;6
E10;EL HUALLE;SANTA ROSA P21;00B33C;6
E11;DIEGO PORTALES;(M) SANTA ROSA;00B33C;6
E12;SANTA ROSA P18;MARIA ELENA;00B33C;6
E13;GABRIELA;(M) BELLAVISTA DE LA FLORIDA;00B33C;6
E14;SAN JOSE DE LA ESTRELLA;(M) BELLAVISTA DE LA FLORIDA;00B33C;6
E15;GABRIELA;FROILAN LAGOS;00B33C;6
E15c;GABRIELA;(M) BELLAVISTA DE LA FLORIDA;00B33C;6
E16;GABRIELA;(M) SANTA ROSA;00B33C;6
E17;(M) BELLAVISTA DE LA FLORIDA;LAS PERDICES;00B33C;6
E18;HOSPITAL PADRE HURTADO;(M) BELLAVISTA DE LA FLORIDA;00B33C;6
F01;VILLA PADRE HURTADO;CASAS VIEJAS;FFD400;3
F01c;(M) PLAZA PUENTE ALTO;CASAS VIEJAS;FFD400;3
F02;PIE ANDINO;SAN GERóNIMO;FFD400;3
F03;(M) PLAZA PUENTE ALTO;PLAZA SAN BERNARDO;FFD400;3
F03c;PIE ANDINO;VILLA LAS MAMIñAS;FFD400;3
F05;(M) LA CISTERNA;PIE ANDINO;FFD400;3
F06;(M) LA CISTERNA;PIE ANDINO;FFD400;3
F07;MALL PLAZA TOBALABA;VILLA PADRE HURTADO;FFD400;3
F08;VILLA PADRE HURTADO;DIEGO PORTALES;FFD400;3
F09;PIE ANDINO;(M) ELISA CORREA;FFD400;3
F10;SAN GUILLERMO;MALL PLAZA TOBALABA;FFD400;3
F11;LAS VIZCACHAS;PIE ANDINO;FFD400;3
F12;BAJOS DE MENA;(M) PLAZA PUENTE ALTO;FFD400;3
F12c;AV. JUANITA;(M) PLAZA PUENTE ALTO ;FFD400;3
F13;BAJOS DE MENA;MALL PLAZA TOBALABA;FFD400;3
F13c;BAJOS DE MENA;(M) PLAZA PUENTE ALTO;FFD400;3
F14;VILLA PADRE HURTADO;(M) PLAZA PUENTE ALTO;FFD400;3
F15;BAJOS DE MENA;(M) ELISA CORREA;FFD400;3
F16;VILLA PADRE HURTADO;RIVERA RIO MAIPO;FFD400;3
F18;VILLA CHILOé;(M) PLAZA PUENTE ALTO;FFD400;3
F19;PIE ANDINO;MALL PLAZA TOBALABA;FFD400;3
F20;(M) LA CISTERNA;PIE ANDINO;FFD400;3
F23;VILLA PADRE HURTADO;MALL PLAZA TOBALABA;FFD400;3
F24;CASAS VIEJAS; (M) ELISA CORREA;FFD400;3
F25;BAJOS DE MENA;(M) BELLAVISTA DE LA FLORIDA;FFD400;3
F25e;BAJOS DE MENA;(M) BELLAVISTA DE LA FLORIDA;FFD400;3
F26;VILLA PADRE HURTADO;SAN CARLOS ORIENTE;FFD400;3
F27;VILLA PADRE HURTADO;VILLA PORTEZUELO ORIENTE;FFD400;3
F28N;LA PRIMAVERA;DIEGO PORTALES;FFD400;3
F29;PIE ANDINO;CASAS VIEJAS;FFD400;3
F30N;BAJOS DE MENA;LA MONEDA;FFD400;3
G01;VILLA 4 DE SEPTIEMBRE;SANTO TOMáS;0067AC;5
G01c;VILLA 4 DE SEPTIEMBRE;SANTA ROSA P. 21;0067AC;5
G02;PLAZA SAN BERNARDO;PUENTE LOS MORROS;0067AC;5
G04;(M) LA CISTERNA;SANTO TOMáS;0067AC;5
G05;EL CASTILLO;(M) LA CISTERNA;0067AC;5
G07;SAN FRANCISCO;LO HERRERA;0067AC;5
G08;POBLACIóN LA SELVA;(M) LA CISTERNA;0067AC;5
G08v;NOS;(M) LA CISTERNA;0067AC;5
G09;LO BLANCO;SANTA MARGARITA;0067AC;5
G11;LO BLANCO;(M) LO OVALLE;0067AC;5
G12;(M) LO OVALLE;CEMENTERIO METROPOLITANO;0067AC;5
G13;(M) LA CISTERNA;EL CASTILLO;0067AC;5
G14;LO BLANCO;POBLACIóN VALLE NEVADO;0067AC;5
G15;(M) LA CISTERNA;SANTO TOMáS;0067AC;5
G16;(M) LA CISTERNA;LO BLANCO;0067AC;5
G18;SANTO TOMAS;(M) LO OVALLE;0067AC;5
G22;VILLA ESPAñA;(M) LA CISTERNA;0067AC;5
H02;(M) CARLOS VALDOVINOS;(M) LO VIAL ;00B33C;6
H03;(M) LO OVALLE;MALL PLAZA OESTE;00B33C;6
H04;(M) CARLOS VALDOVINOS ; LA VICTORIA;00B33C;6
H05;(M) CARLOS VALDOVINOS;POBL. DAVILA;00B33C;6
H05c;POBL. DAVILA;(M) DEPARTAMENTAL;00B33C;6
H06;POBL. LAS TURBINAS;AV. MATTA;00B33C;6
H07;(M) ÑUBLE ;(M) LO OVALLE;00B33C;6
H08;POBL.  LAS TURBINAS;(M) LO OVALLE;00B33C;6
H09;POBL. DAVILA;(M) CARLOS VALDOVINOS;00B33C;6
H12;LO ESPEJO;(M) FRANKLIN;00B33C;6
H13;SANTA OLGA;POSTA CENTRAL;00B33C;6
H14;MALL FLORIDA CENTER;(M) FRANKLIN;00B33C;6
I01;VILLA LOS HéROES;HOSPITAL BORJA ARRIARáN;00B33C;6
I02;RINCONADA;(M) LAGUNA SUR;00B33C;6
I03;VILLA LOS HéROES;VILLA PORTALES;00B33C;6
I03c;VALLE VERDE;(M) SAN ALBERTO HURTADO;00B33C;6
I04;VILLA EL ABRAZO;(M) SAN ALBERTO HURTADO;00B33C;6
I04c;VILLA EL ABRAZO;(M) PLAZA MAIPU;00B33C;6
I04e;VILLA EL ABRAZO;(M) PLAZA MAIPU;00B33C;6
I05;RINCONADA;(M) LO OVALLE;00B33C;6
I07;RINCONADA;MALL ARAUCO MAIPU;00B33C;6
I08;MALL ARAUCO MAIPú;(M) SAN ALBERTO HURTADO;00B33C;6
I08N;LA FARFANA;ALAMEDA;00B33C;6
I08c;LA FARFANA;(M) LAS REJAS;00B33C;6
I09;RINCONADA;(M) ULA;00B33C;6
I09c;RINCONADA;(M) LAS REJAS;00B33C;6
I09e;RINCONADA;(M) ULA;00B33C;6
I09v;RINCONADA;(M) PLAZA MAIPU;00B33C;6
I10;VILLA LOS HéROES;USACH;00B33C;6
I10N;VILLA LOS HEROES;ALAMEDA;00B33C;6
I11;CIUDAD SATELITE;(M) PLAZA MAIPU;00B33C;6
I12;PUEBLITO LA FARFANA;MALL FLORIDA CENTER;00B33C;6
I13;VILLA LOS PRESIDENTES;(M) SAN ALBERTO HURTADO;00B33C;6
I14;MALL PLAZA OESTE;ESTACIóN CENTRAL;00B33C;6
I16;POBLACION SANTIAGO;FERROCARRIL;00B33C;6
I17;VILLA FRANCIA;HOSPITAL SAN JUAN DE DIOS;00B33C;6
I18;RINCONADA;(M) ULA;00B33C;6
I20;VALLE VERDE;MARTA OSSA RUIZ;00B33C;6
I21;VILLA HERNAN DíAZ;(M) PLAZA MAIPU;00B33C;6
I22;LA FARFANA;(M) DEL SOL;00B33C;6
I24;VILLA LOS MAITENES;PLAZA OESTE;00B33C;6
J01;PUDAHUEL SUR;(M) QUINTA NORMAL;00D9A3;7
J01c;(M) SAN PABLO;CARRASCAL;00D9A3;7
J02;ENEA;(M) ULA;00D9A3;7
J03;COSTANERA SUR;(M) REPUBLICA;00D9A3;7
J04;(M) NEPTUNO;LA ALIANZA;00D9A3;7
J05;COSTANERA SUR;(M) ULA;00D9A3;7
J06;(M) PUDAHUEL;(M) PAJARITOS;00D9A3;7
J07;NOVICIADO;(M) PUDAHUEL;00D9A3;7
J07c;(M) PUDAHUEL;LO BOZA;00D9A3;7
J07e;NOVICIADO;(M) PUDAHUEL;00D9A3;7
J08;PUDAHUEL SUR ;HOSPITAL FELIX BULNES;00D9A3;7
J10;SAN DANIEL;PARQUE DE LOS REYES;00D9A3;7
J11;LOMAS DE LO AGUIRRE;(M) PAJARITOS;00D9A3;7
J12;(M) PAJARITOS;CIUDAD DE LOS VALLES;00D9A3;7
J13;(M) ESTACIóN CENTRAL;COSTANERA SUR;00D9A3;7
J13c;(M) SAN PABLO;COSTANERA SUR;00D9A3;7
J14c;VILLA ROOSEVELT;PUDAHUEL SUR;00D9A3;7
J15c;LA ALIANZA;(M) NEPTUNO;00D9A3;7
J16;COSTANERA SUR;(M) ESTACIóN CENTRAL;00D9A3;7
J17;(M) PAJARITO;PUERTO SANTIAGO;00D9A3;7
J18;ENEA;(M) SAN PABLO;00D9A3;7
J18c;EL TRANQUE;(M) SAN PABLO;00D9A3;7
J19;PUDAHUEL SUR;(M) SANTA ANA;00D9A3;7
J20;EL MONTIJO;(M) PUDAHUEL;00D9A3;7
L1_V27;LINEA 1 (SAN PABLO;LOS DOMINICOS) ;FA0727;0
L2R_V27;LINEA 2 RUTA ROJA (EXPRESO VESPUCIO NORTE;LA CISTERNA) ;FFD400;3
L2V_V27;LINEA 2 RUTA VERDE (EXPRESO VESPUCIO NORTE;LA CISTERNA) ;FFD400;3
L2_V27;LINEA 2 (VESPUCIO NORTE;LA CISTERNA) ;FFD400;3
L4A_V27;LINEA 4A (LA CISTERNA;VICUñA MACKENNA) ;0A5FCA;0
L4R_V27;LINEA 4 RUTA ROJA (EXPRESO TOBALABA;PLAZA DE PUENTE ALTO) ;1A1D6A;0
L4V_V27;LINEA 4 RUTA VERDE (EXPRESO TOBALABA;PLAZA DE PUENTE ALTO) ;1A1D6A;0
L4_V27;LINEA 4 (TOBALABA;PLAZA DE PUENTE ALTO) ;1A1D6A;0
L5R_V27;LINEA 5 RUTA ROJA (EXPRESO PLAZA DE MAIPú;VICENTE VALDéS) ;008A63;0
L5V_V27;LINEA 5 RUTA VERDE (EXPRESO PLAZA DE MAIPú;VICENTE VALDéS) ;008A63;0
L5_V27;LINEA 5 (PLAZA DE MAIPú;VICENTE VALDéS) ;008A63;0
